시가,고가,저가,종가,거래량,거래대금,등락률
6300,6550,6300,6540,26586,172518190,3.97
15750,16300,15750,16150,23693,380365700,2.22
4035,4175,4020,4150,249776,1026270580,3.62
194000,194000,187000,189500,29402,5586136500,0.26
6820,6830,6680,6820,789830,5333862840,1.49
409500,415000,402500,406500,164,67010000,-0.73
155500,156000,155500,156000,41,6388500,-0.32
78800,80000,78100,79400,28099,2229898500,1.93
21450,22200,21450,22200,236795,5180756100,3.5
70300,72100,70300,71700,8709,623387200,0.99
118500,122000,118000,121500,45775,5503764000,3.4
2945,3095,2945,3095,82998,253704555,5.09
28500,29050,28500,28950,20,572400,0.7
49300,49750,49250,49750,649,32106750,0.91
401500,401500,387500,397500,35560,14069943500,-0.75
164500,168000,164500,167000,1780,296289000,0.6
57100,59000,56800,57300,7690,444939300,-0.52
770,792,770,792,220335,172883829,2.86
5010,5060,5000,5060,31498,158230000,1.5
62700,62700,60600,62000,107109,6610958700,0.32
48400,49500,48250,48800,654290,31910518300,1.67
95300,99000,95100,97500,114,11132800,1.46
7770,7880,7720,7880,279779,2178198960,2.2
15450,16150,15350,15800,107860,1702474500,3.27
70400,71100,68300,69900,80544,5592960400,-0.29
20400,20750,20200,20700,10878,222885550,2.73
39850,39850,38850,39050,4040,158462700,-1.51
39500,40500,39200,40300,231534,9262349900,2.81
33900,34850,33900,34250,3101,106638300,0.0
28100,28650,28100,28600,2527,72201700,0.0
52500,54600,52500,54400,18929,1012505200,3.62
4510,4640,4440,4490,45939,208930625,-0.44
5170,5390,5080,5300,67574,352641700,2.51
4560,4790,4560,4770,46957,222195945,4.61
46400,46400,45850,46300,1611,74262750,-0.22
5500,5770,5420,5750,203816,1133906610,4.93
128500,137500,128000,134500,98780,13256193500,4.26
16700,19250,16700,18300,94086,1705333400,9.58
13000,14200,13000,13600,453341,6231618700,3.82
40850,41050,40200,40950,209505,8505813800,0.86
29050,30050,28850,30050,948656,28123226100,4.16
3150,3295,3125,3160,4203192,13377802865,0.64
25950,26150,25750,25850,83355,2161495950,-0.19
35000,35200,34700,35200,1754,61220250,-0.14
6490,6570,6490,6530,57385,374041800,-0.15
8450,8620,8400,8580,8263,69989390,-0.35
3710,3840,3695,3810,13811,51896965,2.97
11200,11450,11150,11400,203738,2309248300,2.24
55200,55800,53000,54800,387843,21061941900,-1.26
6900,7000,6790,6900,18627,128621710,0.0
9540,9870,9310,9820,1307558,12635513570,6.62
23800,24850,23650,24750,2132434,52073411550,4.65
9490,9490,9080,9290,453366,4177857930,-0.64
673,706,673,705,252907,176635689,5.07
7200,7310,7170,7310,394654,2844526390,1.67
12550,13050,12500,13000,21693,280553750,4.0
23150,23850,22750,23700,73947,1725943700,2.6
71400,71400,71400,71400,2,142800,0.0
35700,35800,35550,35550,274,9769250,-0.56
3245,3270,3200,3265,22515,73101820,1.08
47400,47500,46700,47300,1133267,53431145095,0.75
291000,302000,288500,300500,24385,7283396500,3.44
45600,46150,45350,45700,37178,1697638400,0.22
4180,4415,4180,4370,106029,458901925,6.07
5110,5230,4960,5210,266072,1367639200,2.36
3995,4170,3995,4150,22812,93939005,2.85
2415,2495,2415,2480,1318241,3246664745,2.9
13050,13550,12900,13350,910750,12049651450,2.69
0,0,0,105500,0,0,0.0
24950,25750,24950,25550,181816,4603925450,2.4
1450,1510,1450,1485,347784,514569225,2.41
13900,14100,13850,14000,7212,100911800,1.45
47750,48500,47600,48200,1290,61805850,1.47
58200,59100,58000,58800,459,26864200,0.51
595,624,595,622,139467,86024637,4.01
10000,10100,9830,10100,40195,400430010,2.85
37450,37800,37200,37400,874600,32755316050,0.67
82500,82500,81100,81700,293737,23953859500,-0.49
1955,2020,1955,2015,261919,523184470,3.07
2450,2555,2450,2555,176904,447074195,4.29
16300,16500,16000,16000,25425,411442800,-1.84
79300,80900,78600,80800,262482,21057114100,2.93
14400,15050,14400,14950,1797373,26725123950,3.1
677000,697000,675000,688000,43534,29956758000,2.23
312500,322000,312500,321000,4373,1391102500,2.72
356500,362500,356000,361500,219192,78856116000,1.54
61500,62900,61200,62300,6838,426735200,1.96
13200,13200,12950,13050,552977,7213891350,-0.76
335000,355500,334500,351500,308557,107039284000,7.16
91000,96000,90700,95500,1348997,127292462600,5.88
43500,45850,43500,45800,36668,1657589700,5.29
5210,5330,5170,5250,380735,2002418590,1.94
508000,522000,505000,512000,228594,117455699000,2.4
240000,245000,239000,241500,12009,2921630000,1.05
71300,71900,68300,71200,206592,14488778000,0.28
61600,62700,59600,62100,171677,10455279800,1.47
56600,59900,54100,59100,386180,21956103900,5.54
2505,2625,2505,2595,30940,79546745,2.77
6800,7070,6770,7030,89401,620633630,3.38
31600,31900,30350,31900,348113,10904977100,0.79
40500,41800,40500,41700,20257,837826550,1.96
19550,20450,19550,20050,1992,39787000,0.25
9020,9110,9010,9040,87792,793930650,0.0
11800,12300,11800,12250,2422,29236700,2.94
8190,8380,8080,8360,20455,169780840,2.08
238500,248500,237000,243000,654854,159394015200,3.4
28500,29600,28500,29550,50664,1488527450,4.23
4505,4565,4485,4555,72400,326968710,0.66
9170,9430,9170,9350,752977,6996860000,1.19
9200,9330,9200,9320,19289,178848140,0.98
4575,4635,4550,4620,22234,102133970,0.98
15300,15300,14950,15150,46827,706137900,-0.66
4250,4645,4215,4590,341200,1519467025,9.81
7500,7790,7380,7750,542799,4159760390,4.03
4270,4440,4225,4430,46713,202911685,4.36
135500,138500,132000,137500,403898,54941037500,1.48
32400,34200,32050,33700,239555,8007387300,5.31
233000,239000,231000,238500,287694,67932748000,3.7
102500,103500,100500,102000,314433,31994546000,0.49
61400,62000,60400,62000,7970,489800100,1.31
40800,42150,40800,40950,40495,1667550550,0.24
34850,35400,34750,35200,21566,755611250,1.0
1275,1330,1275,1330,80562,105204645,3.5
525,547,525,546,611869,329577478,3.61
27050,28400,27050,28400,15452,428291800,5.19
998,1005,983,1000,2155346,2148966715,0.91
6120,6250,6120,6210,136615,846057430,0.98
3380,3450,3330,3450,7543,25656035,2.07
2830,2895,2815,2885,76899,219244810,0.52
211500,217000,210000,216500,93468,20063281500,3.34
