티커,시가,고가,저가,종가,거래량,거래대금,등락률
060310,2900,2950,2755,2755,1243800,3504083260,-5.65
095570,6430,6430,6270,6290,64237,406115230,-2.48
006840,15950,16400,15400,15800,20199,316173250,-0.63
054620,8410,8410,7570,7900,83975,654453500,-4.36
265520,16200,16300,15700,16150,82299,1315287700,-0.62
211270,11600,11600,10450,10700,432772,4709547150,-6.14
027410,4115,4190,3995,4005,182925,742184945,-3.38
282330,190500,193000,184500,189000,24361,4597804500,-2.07
032790,0,0,0,4075,0,0,0.0
138930,6830,6840,6650,6720,861018,5787271310,-1.47
001460,414500,414500,391000,409500,383,154443000,0.12
001465,157000,157000,155000,156500,42,6561000,-1.26
013720,1290,1335,1235,1255,279696,357319010,-2.33
001040,76300,78000,76200,77900,39771,3076149800,1.7
079160,22550,22700,20950,21450,446377,9562599350,-5.51
035760,95000,95000,91500,91800,59274,5499182700,-2.13
311690,26850,27300,26500,26600,3647,97491150,-2.56
00104K,69800,71000,69400,71000,6959,487827900,1.72
000120,115500,119500,115000,117500,59687,7026839500,3.07
011150,3000,3060,2910,2945,68645,203546315,-2.32
011155,28800,28900,28600,28750,209,6002200,-2.38
001045,49300,49300,48500,49300,704,34489900,0.0
097950,396500,404000,391000,400500,59743,23854043500,2.17
097955,164000,167500,164000,166000,2852,473123000,1.22
051500,40850,41950,38650,39500,86482,3466913050,-1.99
058820,2470,2485,2405,2440,359514,877948675,-0.41
023460,1785,1805,1705,1790,19031,33586275,-0.56
056730,0,0,0,3100,0,0,0.0
065770,1965,1985,1905,1920,50401,98020585,-3.27
083660,1445,1445,1330,1420,49972,69230865,-1.73
000590,60300,60700,56700,57600,20115,1178161000,-3.19
012030,771,787,760,770,287264,220864935,-1.16
404950,2120,2120,2105,2110,7893,16614885,-0.24
367340,2140,2140,2120,2140,15400,32886335,0.0
367360,2140,2140,2115,2135,5072,10727695,0.0
016610,5030,5070,4955,4985,17834,89306885,0.61
005830,63700,64000,61100,61800,133630,8277744000,-2.98
000990,48600,49300,47200,48000,544398,26216115200,-0.93
000995,93600,96300,93600,96100,171,16174900,1.16
139130,7800,7860,7630,7710,694745,5380485180,-1.15
001530,15600,15750,15050,15300,96290,1470826550,-1.61
000210,71600,72000,68700,70100,80246,5623292900,-1.68
001880,21700,21700,19950,20150,24870,511108800,-4.73
000215,40850,40850,39100,39650,1293,51640500,-0.88
375500,42300,42400,38500,39200,435558,17250759600,-7.0
37550L,35400,35400,33750,34250,2005,69038450,-3.25
37550K,29050,29100,27950,28600,1952,55414500,-1.72
068790,4930,4995,4700,4765,57313,275424985,-3.74
007340,52200,54300,51200,52500,33563,1765825400,0.57
004840,4700,4790,4500,4510,230071,1062324620,-6.82
241520,3950,4035,3920,3960,61526,243458755,0.25
155660,5370,5430,5100,5170,43247,225734450,-3.9
069730,4735,4765,4480,4560,63721,292708615,-2.77
017940,46500,46500,45650,46400,5377,247270950,-0.11
245620,2850,2995,2825,2915,492781,1437540985,2.28
037370,8960,9080,8600,8790,54142,476136270,-2.87
278990,5650,5650,5650,5650,2000,11300000,0.0
365550,5650,5730,5350,5480,336504,1828056610,-3.01
050120,3745,3840,3705,3725,30371,113625485,-1.46
084180,1400,1400,1335,1390,149264,203368475,2.21
383220,126500,132000,125000,129000,113044,14545599500,1.18
007700,16600,17200,16550,16700,30590,515909700,0.0
214270,4095,4180,4000,4040,161422,656409640,-0.86
130500,3715,4600,3705,4225,4639979,19684970720,13.73
114090,12950,13100,12650,13100,214691,2763819750,1.16
900290,1250,1265,1230,1265,197872,246766280,2.02
078930,41100,41200,40000,40600,204840,8280073800,-0.73
083450,21100,21300,20250,20700,78111,1612130100,-1.9
006360,31900,31900,28300,28850,2298568,66789313700,-8.41
001250,3195,3385,3115,3140,3735505,12141782215,-2.79
007070,26200,26300,25500,25900,139001,3587170850,-0.96
078935,35300,35550,34600,35250,3170,110916750,-0.14
297890,12050,12350,11900,12350,66832,807218500,1.23
078150,1805,1840,1635,1745,559018,968511610,-2.79
012630,6630,6630,6430,6540,59033,384120550,-1.21
039570,8760,8760,8480,8610,802,6881630,0.23
089470,3815,3820,3620,3700,50914,187664265,-3.01
294870,11450,11500,11050,11150,259751,2909529050,-3.04
267250,58000,58000,54700,55500,346028,19250355600,-4.31
097230,7050,7060,6820,6900,14749,101733770,-2.13
195940,38300,39000,37800,38500,662896,25486088900,1.58
028300,35050,36600,34950,36000,831212,29998377600,3.0
003580,9520,10100,9130,9210,2062218,20049325250,-1.81
343090,3995,4330,3640,3790,16657,62725475,-5.13
067630,12050,12500,11800,12150,1014760,12382185050,2.97
047920,14300,14950,14150,14500,383365,5591324250,1.4
115450,13850,14150,13550,13850,704147,9778353300,0.73
011200,24150,24350,23150,23650,2052977,48640564650,-1.46
036640,6150,6160,5720,5820,206245,1206989050,-4.59
082740,9850,9930,9130,9350,697967,6540574890,-4.3
335870,0,0,0,2445,0,0,0.0
351340,2050,2055,2005,2005,107858,218303285,-2.43
388790,0,0,0,2225,0,0,0.0
405350,2280,2280,2245,2255,53558,120758890,-0.88
003560,700,706,670,671,308604,211116600,-4.01
095340,30150,30300,28150,29850,160134,4724462000,-1.0
099520,0,0,0,1285,0,0,0.0
175330,7410,7440,7150,7190,333073,2408611310,-3.36
950170,2870,2955,2600,2735,90321,241727105,-1.97
