테마,종목1,종목2,종목코드1,종목코드2
원숭이두창,수젠텍,휴마시스,253840,205470
코로나19(음압병실/음압구급차),에스와이,GH신소재,109610,130500
원숭이두창,바디텍메드,현대바이오,206640,048410
전염병(코로나19) - 진단,수젠텍,휴마시스,253840,205470
코로나19(진단키트),수젠텍,휴마시스,253840,205470
유전체검사,수젠텍,휴마시스,253840,205470
자전거,엔에스엔,한국석유,031860,004090
유가 상승 수혜 - 유류도소매,이아이디,중앙에너비스,093230,000440
코로나19(스푸트니크V),이화전기,이아이디,024810,093230
자전거,엔에스엔,알톤스포츠,031860,123750
카지노,강원랜드,GKL,035250,114090
반도체·디스플레이 - 클린룸,에스와이,위드텍,109610,348350
전염병(코로나19) - 기타,에스와이,지티지웰니스,109610,219750
광고,오리콤,제일기획,010470,030000
"백신/진단시약/방역(신종플루, AI 등)",수젠텍,랩지노믹스,253840,084650
종합반도체,SK하이닉스,삼성전자,000660,005930
통신,SK텔레콤,KT,017670,030200
제지,페이퍼코리아,한솔제지,001020,213500
치매,수젠텍,엔에스엔,253840,031860
백화점,베뉴지,롯데쇼핑,019010,023530
의류 브랜드,공구우먼,배럴,366030,267790
치매 치료,수젠텍,바이오스마트,253840,038460
동물백신·방역,수젠텍,우진비앤지,253840,018620
전염병(코로나19) - 제약,이화전기,이아이디,024810,093230
코로나19(진단/치료제/백신 개발 등),수젠텍,휴마시스,253840,205470
LNG 발전·유통,삼천리,대성에너지,004690,117580
홈쇼핑,롯데쇼핑,태광산업,023530,003240
백신여권,케이사인,라온시큐어,192250,042510
미디어 - 엔터,에스엠,JYP Ent.,041510,035900
백신여권,라온시큐어,SK텔레콤,042510,017670
음식료 - 라면,오뚜기,농심,007310,004370
카지노,강원랜드,GKL,035250,114090
주정,MH에탄올,한국알콜,023150,017890
원격의료,라이프시맨틱스,케어랩스,347700,263700
코로나19(렘데시비르),에스티팜,파미셀,237690,005690
미디어 - 드라마·영화 제작,위지윅스튜디오,에이스토리,299900,241840
도시가스,삼천리,대성에너지,004690,117580
음식료 - 식자재유통,SPC삼립,대상,005610,001680
유가 상승 수혜 - 윤활유,극동유화,흥구석유,014530,024060
의료기기,수젠텍,휴마시스,253840,205470
카카오뱅크 관련주,알서포트,이니텍,131370,053350
LPG(액화석유가스),에쎈테크,SK가스,043340,018670
보툴리눔 톡신 (보톡스),바이오플러스,한국비엔씨,099430,256840
차량용블랙박스,팅크웨어,파인디지털,084730,038950
생명보험,동양생명,한화생명,082640,088350
홈쇼핑,롯데쇼핑,태광산업,023530,003240
웹툰,디앤씨미디어,카카오,263720,035720
CMO·원료의약품,에스티팜,바이넥스,237690,053030
자동차 대표주,기아,현대차,000270,005380
음식료 - 제과,오리온,오리온홀딩스,271560,001800
마켓컬리 관련주,지어소프트,이씨에스,051160,067010
미용기기,루트로닉,제이시스메디칼,085370,287410
스마트홈,제일전기공업,SK텔레콤,199820,017670
인터넷 대표주,카카오,NAVER,035720,035420
전기차 - 배터리 생산,SK이노베이션,LG에너지솔루션,096770,373220
광고,오리콤,지어소프트,010470,051160
마리화나,마이더스AI,한국비엔씨,222810,256840
증권사,미래에셋증권,NH투자증권,006800,005940
음식료 - 수산식품,오뚜기,동원F&B,007310,049770
고배당주,NH투자증권,정상제이엘에스,005940,040420
카메라,캠시스,퓨런티어,050110,370090
코로나19(치료제/백신 개발 등),현대바이오,셀리버리,048410,268600
겨울,SPC삼립,삼천리,005610,004690
CRO(임상시험수탁기관),켐온,에이디엠코리아,217600,187660
생체인식,KH 전자,크루셜텍,111870,114120
희귀질환 치료제,셀리버리,메지온,268600,140410
2022년 임상예정 제약·바이오,나이벡,SK바이오팜,138610,326030
코로나19(카모스타트),일성신약,대웅제약,003120,069620
바이오시밀러,바이넥스,알테오젠,053030,196170
취업·일자리,메가엠디,YBM넷,133750,057030
면역세포치료제,유틸렉스,인콘,263050,083640
여행·레저,롯데관광개발,세중,032350,039310
건자재 - 가구,오하임아이엔티,퍼시스,309930,016800
엔터테인먼트,에스엠,래몽래인,041510,200350
스마트카·자율주행,캠시스,팅크웨어,050110,084730
미용기기,루트로닉,유한양행,085370,000100
화학 - 정유,S-Oil,SK이노베이션,010950,096770
자동차 대표주,한온시스템,기아,018880,000270
치아·임플란트,덴티스,나이벡,261200,138610
마이데이터,쿠콘,유비벨록스,294570,089850
타이어,금호타이어,금호석유,073240,011780
음성인식,파인디지털,카카오,038950,035720
의류 OEM·ODM,국동,한세예스24홀딩스,005320,016450
건강기능식품,네오크레마,HK이노엔,311390,195940
전자담배,알에프세미,KT&G,096610,033780
