테마,종목1,종목2,종목코드1,종목코드2,어제종가1,그제종가1,어제종가2,그제종가2
원숭이두창,수젠텍,휴마시스,253840,205470,15500,13250,18900,18850
코로나19(음압병실/음압구급차),에스와이,GH신소재,109610,130500,3925,3835,4305,4225
원숭이두창,바디텍메드,현대바이오,206640,048410,12000,11450,24050,23000
전염병(코로나19) - 진단,수젠텍,휴마시스,253840,205470,15500,13250,18900,18850
코로나19(진단키트),수젠텍,휴마시스,253840,205470,15500,13250,18900,18850
유전체검사,수젠텍,휴마시스,253840,205470,15500,13250,18900,18850
자전거,엔에스엔,한국석유,031860,004090,1180,1155,11850,11750
유가 상승 수혜 - 유류도소매,이아이디,중앙에너비스,093230,000440,1270,1270,22950,22550
코로나19(스푸트니크V),이화전기,이아이디,024810,093230,1250,1330,1270,1270
자전거,엔에스엔,알톤스포츠,031860,123750,1180,1155,3205,3205
카지노,강원랜드,GKL,035250,114090,26300,26650,13600,13100
반도체·디스플레이 - 클린룸,에스와이,위드텍,109610,348350,3925,3835,15050,14900
전염병(코로나19) - 기타,에스와이,지티지웰니스,109610,219750,3925,3835,1425,1425
광고,오리콤,제일기획,010470,030000,6780,6620,23650,24150
"백신/진단시약/방역(신종플루, AI 등)",수젠텍,랩지노믹스,253840,084650,15500,13250,6980,6620
종합반도체,SK하이닉스,삼성전자,000660,005930,92500,89100,57200,57100
통신,SK텔레콤,KT,017670,030200,54200,53600,37400,37150
제지,페이퍼코리아,한솔제지,001020,213500,2030,1800,13150,12900
치매,수젠텍,엔에스엔,253840,031860,15500,13250,1180,1155
백화점,베뉴지,롯데쇼핑,019010,023530,2225,2215,102000,103500
의류 브랜드,공구우먼,배럴,366030,267790,42800,32950,7760,7600
치매 치료,수젠텍,바이오스마트,253840,038460,15500,13250,3925,3905
동물백신·방역,수젠텍,우진비앤지,253840,018620,15500,13250,2170,2145
전염병(코로나19) - 제약,이화전기,이아이디,024810,093230,1250,1330,1270,1270
코로나19(진단/치료제/백신 개발 등),수젠텍,휴마시스,253840,205470,15500,13250,18900,18850
